ACCIDENT_NO,NODE_ID,NODE_TYPE,AMG_X,AMG_Y,LGA_NAME,LGA NAME ALL,DEG_URBAN_NAME,LATITUDE,LONGITUDE,POSTCODE_CRASH
T20160023430,323983,N,2474470.047,2400924.932,WYNDHAM,WYNDHAM,RURAL_VICTORIA,-37.892429,144.709748,3030
T20160023432,47695,I,2466877.633,2401861.416,WYNDHAM,WYNDHAM,MELB_URBAN,-37.883752,144.623472,3024
T20160023433,358693,N,2497274.704,2415491.394,MORELAND,MERRI-BEK,MELB_URBAN,-37.761532,144.96907,3056
T20160023434,311336,I,2238280.219,2806832.313,MILDURA,MILDURA,SMALL_CITIES,-34.200067,142.162883,3500
T20160023436,47637,I,2479853.78,2415389.373,BRIMBANK,BRIMBANK,MELB_URBAN,-37.762238,144.77135,3023
T20160023437,269336,I,2416514.969,2496978.495,MOUNT ALEXANDER,MOUNT ALEXANDER,RURAL_VICTORIA,-37.023522,144.061642,3463
T20160023438,56839,I,2441293.33,2520823.786,BENDIGO,BENDIGO,RURAL_VICTORIA,-36.810501,144.341989,3551
T20160023439,310097,N,2442287.163,2376543.513,GEELONG,GEELONG,LARGE_PROVINCIAL_CITIES,-38.110642,144.34195,3215
T20160023441,57275,I,2669962.322,2596166.509,WODONGA,WODONGA,SMALL_CITIES,-36.118109,146.888048,3690
T20160023442,309977,N,2478422.011,2401438.462,WYNDHAM,WYNDHAM,MELB_URBAN,-37.887903,144.754693,3030
T20160023447,310167,N,2148616.248,2407956.057,GLENELG,GLENELG,RURAL_VICTORIA,-37.763087,141.01076,3312
T20160023449,310004,N,2511079.751,2377533.465,FRANKSTON,FRANKSTON,MELB_URBAN,-38.103455,145.12632,3198
T20160023457,310003,N,2510734.085,2367692.926,MORNINGTON PENINSULA,"MORNINGTON PENINSULA,FRANKSTON",MELB_URBAN,-38.192108,145.122523,3930
T20160023458,65003,I,2498961.823,2411882.449,YARRA,YARRA,MELB_URBAN,-37.794053,144.988212,3068
T20160023459,313877,N,2440554.874,2354776.832,SURF COAST,SURF COAST,RURAL_VICTORIA,-38.306609,144.320427,3228
T20160023460,310060,I,2418591.427,2436296.917,MOORABOOL,MOORABOOL,RURAL_VICTORIA,-37.570516,144.078377,3345
T20160023462,130415,N,2496699.499,2408187.741,MELBOURNE,MELBOURNE,MELB_URBAN,-37.827337,144.962509,3006
